FirstFrame,FrameCount,ActorName,ActorClass,ShortActorName,WorldX,WorldY,WorldZ,WorldSizeX,WorldSizeY,WorldSizeZ,Volume,CamX,CamY,CamZ,CamPitch,CamYaw,CamRoll
0,298,BP_pipeline_C_UAID_18C04D8F75B69C7302_2034457391_SM_Bedroom_Backpack_001V,StaticMesh_SM_Bedroom_Backpack_001V,backpack,7.906280000000001,-6.1844600000000005,0.25440999999999997,0.34459,0.31469,0.509,0.05519546479390001,,,,,,
0,298,BP_pipeline_C_UAID_18C04D8F75B69C7302_2034457391_SM_Bedroom_Backpack_001V,StaticMesh_SM_Bedroom_Backpack_001V,backpack,1.13044,-6.24945,0.25440999999999997,0.34459,0.31469,0.509,0.05519546479390001,,,,,,
0,314,BP_pipeline_C_UAID_18C04D8F75B69C7302_2034457391_SM_Bedroom_Bed_001V,StaticMesh_SM_Bedroom_Bed_001V,bed,9.34812,-5.669160000000001,0.58289,1.70375,2.20114,1.16578,4.371899150349501,,,,,,
0,349,BP_pipeline_C_UAID_18C04D8F75B69C7302_2034457391_SM_Bedroom_Couch_001V,StaticMesh_SM_Bedroom_Couch_001V,couch,3.00248,-6.3659,0.47476999999999997,0.90994,0.80798,0.94953,0.698107104879036,,,,,,
0,349,BP_pipeline_C_UAID_18C04D8F75B69C7302_2034457391_SM_Bedroom_Couch_001V,StaticMesh_SM_Bedroom_Couch_001V,couch,5.96193,-6.3658,0.47476999999999997,0.90994,0.80798,0.94953,0.698107104879036,,,,,,
0,291,BP_pipeline_C_UAID_18C04D8F75B69C7302_2034457391_SM_Bedroom_Sidetable_005V,StaticMesh_SM_Bedroom_Sidetable_005V,sidetable,8.19293,-6.555879999999999,0.34590000000000004,1.00608,0.42790999999999996,0.67865,0.29216676031872,,,,,,
0,246,BP_pipeline_C_UAID_18C04D8F75B69C7302_2034457391_SM_Bedroom_Sidetable_006V,StaticMesh_SM_Bedroom_Sidetable_006V,sidetable,8.00905,-5.38804,0.23893999999999999,0.54913,0.54894,0.47789000000000004,0.144054885475158,,,,,,
0,312,BP_pipeline_C_UAID_18C04D8F75B69C7302_2034457391_SM_Bedroom_Suitcase_001V,StaticMesh_SM_Bedroom_Suitcase_001V,suitcase,8.02239,-4.95515,0.52212,0.52235,0.31628,1.04424,0.17251769787791998,,,,,,
0,71,BP_pipeline_C_UAID_18C04D8F75B69C7302_2034457391_SM_TargetActor_Basket_001V,StaticMesh_SM_TargetActor_Basket_001V,basket,8.57415,-6.18293,0.08410999999999999,0.24381,0.31777,0.16821999999999998,0.013032929232414,,,,,,
0,340,BP_pipeline_C_UAID_18C04D8F75B69C7302_2034457391_SM_TargetActor_Crate_002V,StaticMesh_SM_TargetActor_Crate_002V,crate,7.88818,-6.5343100000000005,0.85359,0.28918,0.27247,0.32398000000000005,0.025527315512908003,,,,,,
0,27,BP_pipeline_C_UAID_18C04D8F75B69C7302_2034457391_SM_TargetActor_PaperBag_001V,StaticMesh_SM_TargetActor_PaperBag_001V,paper bag,8.03586,-6.57358,0.5079899999999999,0.24234999999999998,0.16752,0.32880000000000004,0.0133487775936,,,,,,
0,349,BP_pipeline_C_UAID_18C04D8F75B69C7302_2034457391_SM_TargetActor_Plant_002V,StaticMesh_SM_TargetActor_Plant_002V,plant,7.35453,-5.10838,0.74248,0.6701699999999999,0.71473,1.48496,0.711281887464336,,,,,,
34,177,BP_pipeline_C_UAID_18C04D8F75B69C7302_2034457391_SM_TargetActor_Heater_002V,StaticMesh_SM_TargetActor_Heater_002V,heater,7.4518200000000006,-3.7939999999999996,0.51679,0.42717,0.53733,1.03357,0.23723662036727702,,,,,,
37,19,BP_pipeline_C_UAID_18C04D8F75B69C7302_2034457391_SM_Bedroom_Couch_002V,StaticMesh_SM_Bedroom_Couch_002V,couch,9.99596,-3.77719,0.47476999999999997,0.80798,1.58131,0.94953,1.213183007688714,,,,,,
200,12,BP_pipeline_C_UAID_18C04D8F75B69C7302_2034457391_SM_Kitchen_table_rectangle,StaticMesh_SM_Kitchen_table_rectangle,table,-0.34868000000000005,-5.65274,0.36950000000000005,0.96741,1.6740000000000002,0.73086,1.1835870903324,,,,,,
