FrameNumber,ActorName,ActorClass,MinX,MinY,MaxX,MaxY,Width,Height,WorldX,WorldY,WorldZ,WorldSizeX,WorldSizeY,WorldSizeZ,CameX,CamY,CamZ,CamPitch,CamYaw,CamRoll
0,BP_pipeline_C_UAID_18C04D8F75B69C7302_2034457391_SM_TargetActor_Heater_002V,StaticMesh_SM_TargetActor_Heater_002V,1195,442,1279,719,84,277,-553.371,-792.199,51.679,53.733,42.717,103.357,-583.336,-503.228,110.000,5.666,-130.178,-0.054
0,BP_pipeline_C_UAID_18C04D8F75B69C7302_2034457391_SM_TargetActor_Chair_001V,StaticMesh_SM_TargetActor_Chair_001V,431,479,939,719,508,240,-637.873,-581.908,49.408,42.019,55.402,98.816,-583.336,-503.228,110.000,5.666,-130.178,-0.054
0,BP_pipeline_C_UAID_18C04D8F75B69C7302_2034457391_SM_TargetActor_StandingLamp_001V,StaticMesh_SM_TargetActor_StandingLamp_001V,1183,339,1279,719,96,380,-562.633,-832.524,68.987,37.612,37.612,137.974,-583.336,-503.228,110.000,5.666,-130.178,-0.054
0,BP_pipeline_C_UAID_18C04D8F75B69C7302_2034457391_SM_Bedroom_Couch_002V,StaticMesh_SM_Bedroom_Couch_002V,752,450,1221,719,469,269,-660.568,-810.946,47.477,158.131,80.798,94.953,-583.336,-503.228,110.000,5.666,-130.178,-0.054
0,BP_pipeline_C_UAID_18C04D8F75B69C7302_2034457391_SM_Bedroom_Couch_002V,StaticMesh_SM_Bedroom_Couch_002V,0,477,698,719,698,242,-699.287,-530.501,47.477,80.798,158.131,94.953,-583.336,-503.228,110.000,5.666,-130.178,-0.054
1,BP_pipeline_C_UAID_18C04D8F75B69C7302_2034457391_SM_TargetActor_Heater_002V,StaticMesh_SM_TargetActor_Heater_002V,1201,450,1279,719,78,269,-553.371,-792.199,51.679,53.733,42.717,103.357,-582.843,-503.685,110.000,6.382,-130.494,-0.057
1,BP_pipeline_C_UAID_18C04D8F75B69C7302_2034457391_SM_TargetActor_Chair_001V,StaticMesh_SM_TargetActor_Chair_001V,425,487,945,719,520,232,-637.873,-581.908,49.408,42.019,55.402,98.816,-582.843,-503.685,110.000,6.382,-130.494,-0.057
1,BP_pipeline_C_UAID_18C04D8F75B69C7302_2034457391_SM_TargetActor_StandingLamp_001V,StaticMesh_SM_TargetActor_StandingLamp_001V,1187,347,1279,719,92,372,-562.633,-832.524,68.987,37.612,37.612,137.974,-582.843,-503.685,110.000,6.382,-130.494,-0.057
1,BP_pipeline_C_UAID_18C04D8F75B69C7302_2034457391_SM_Bedroom_Couch_002V,StaticMesh_SM_Bedroom_Couch_002V,754,458,1231,719,477,261,-660.568,-810.946,47.477,158.131,80.798,94.953,-582.843,-503.685,110.000,6.382,-130.494,-0.057
1,BP_pipeline_C_UAID_18C04D8F75B69C7302_2034457391_SM_Bedroom_Couch_002V,StaticMesh_SM_Bedroom_Couch_002V,0,485,699,719,699,234,-699.287,-530.501,47.477,80.798,158.131,94.953,-582.843,-503.685,110.000,6.382,-130.494,-0.057
2,BP_pipeline_C_UAID_18C04D8F75B69C7302_2034457391_SM_TargetActor_Heater_002V,StaticMesh_SM_TargetActor_Heater_002V,1205,458,1279,719,74,261,-553.371,-792.199,51.679,53.733,42.717,103.357,-582.331,-504.154,110.000,7.102,-130.738,-0.059
2,BP_pipeline_C_UAID_18C04D8F75B69C7302_2034457391_SM_TargetActor_Chair_001V,StaticMesh_SM_TargetActor_Chair_001V,418,496,949,719,531,223,-637.873,-581.908,49.408,42.019,55.402,98.816,-582.331,-504.154,110.000,7.102,-130.738,-0.059
2,BP_pipeline_C_UAID_18C04D8F75B69C7302_2034457391_SM_TargetActor_StandingLamp_001V,StaticMesh_SM_TargetActor_StandingLamp_001V,1190,355,1279,719,89,364,-562.633,-832.524,68.987,37.612,37.612,137.974,-582.331,-504.154,110.000,7.102,-130.738,-0.059
2,BP_pipeline_C_UAID_18C04D8F75B69C7302_2034457391_SM_Bedroom_Couch_002V,StaticMesh_SM_Bedroom_Couch_002V,756,466,1239,719,483,253,-660.568,-810.946,47.477,158.131,80.798,94.953,-582.331,-504.154,110.000,7.102,-130.738,-0.059
2,BP_pipeline_C_UAID_18C04D8F75B69C7302_2034457391_SM_Bedroom_Couch_002V,StaticMesh_SM_Bedroom_Couch_002V,0,493,699,719,699,226,-699.287,-530.501,47.477,80.798,158.131,94.953,-582.331,-504.154,110.000,7.102,-130.738,-0.059
3,BP_pipeline_C_UAID_18C04D8F75B69C7302_2034457391_SM_TargetActor_Heater_002V,StaticMesh_SM_TargetActor_Heater_002V,1207,466,1279,719,72,253,-553.371,-792.199,51.679,53.733,42.717,103.357,-581.810,-504.627,110.000,7.796,-130.899,-0.062
3,BP_pipeline_C_UAID_18C04D8F75B69C7302_2034457391_SM_TargetActor_Chair_001V,StaticMesh_SM_TargetActor_Chair_001V,410,504,951,719,541,215,-637.873,-581.908,49.408,42.019,55.402,98.816,-581.810,-504.627,110.000,7.796,-130.899,-0.062
3,BP_pipeline_C_UAID_18C04D8F75B69C7302_2034457391_SM_TargetActor_StandingLamp_001V,StaticMesh_SM_TargetActor_StandingLamp_001V,1191,362,1279,719,88,357,-562.633,-832.524,68.987,37.612,37.612,137.974,-581.810,-504.627,110.000,7.796,-130.899,-0.062
3,BP_pipeline_C_UAID_18C04D8F75B69C7302_2034457391_SM_Bedroom_Couch_002V,StaticMesh_SM_Bedroom_Couch_002V,757,474,1245,719,488,245,-660.568,-810.946,47.477,158.131,80.798,94.953,-581.810,-504.627,110.000,7.796,-130.899,-0.062
3,BP_pipeline_C_UAID_18C04D8F75B69C7302_2034457391_SM_Bedroom_Couch_002V,StaticMesh_SM_Bedroom_Couch_002V,0,501,698,719,698,218,-699.287,-530.501,47.477,80.798,158.131,94.953,-581.810,-504.627,110.000,7.796,-130.899,-0.062
4,BP_pipeline_C_UAID_18C04D8F75B69C7302_2034457391_SM_TargetActor_Heater_002V,StaticMesh_SM_TargetActor_Heater_002V,1208,473,1279,719,71,246,-553.371,-792.199,51.679,53.733,42.717,103.357,-581.327,-505.062,110.000,8.402,-130.986,-0.063
4,BP_pipeline_C_UAID_18C04D8F75B69C7302_2034457391_SM_TargetActor_Chair_001V,StaticMesh_SM_TargetActor_Chair_001V,401,511,953,719,552,208,-637.873,-581.908,49.408,42.019,55.402,98.816,-581.327,-505.062,110.000,8.402,-130.986,-0.063
4,BP_pipeline_C_UAID_18C04D8F75B69C7302_2034457391_SM_TargetActor_StandingLamp_001V,StaticMesh_SM_TargetActor_StandingLamp_001V,1191,369,1279,719,88,350,-562.633,-832.524,68.987,37.612,37.612,137.974,-581.327,-505.062,110.000,8.402,-130.986,-0.063
4,BP_pipeline_C_UAID_18C04D8F75B69C7302_2034457391_SM_Bedroom_Couch_002V,StaticMesh_SM_Bedroom_Couch_002V,0,508,696,719,696,211,-699.287,-530.501,47.477,80.798,158.131,94.953,-581.327,-505.062,110.000,8.402,-130.986,-0.063
5,BP_pipeline_C_UAID_18C04D8F75B69C7302_2034457391_SM_TargetActor_Heater_002V,StaticMesh_SM_TargetActor_Heater_002V,1208,480,1279,719,71,239,-553.371,-792.199,51.679,53.733,42.717,103.357,-580.799,-505.534,110.000,9.011,-131.020,-0.064
5,BP_pipeline_C_UAID_18C04D8F75B69C7302_2034457391_SM_TargetActor_Chair_001V,StaticMesh_SM_TargetActor_Chair_001V,390,518,953,719,563,201,-637.873,-581.908,49.408,42.019,55.402,98.816,-580.799,-505.534,110.000,9.011,-131.020,-0.064
5,BP_pipeline_C_UAID_18C04D8F75B69C7302_2034457391_SM_TargetActor_StandingLamp_001V,StaticMesh_SM_TargetActor_StandingLamp_001V,1190,375,1279,719,89,344,-562.633,-832.524,68.987,37.612,37.612,137.974,-580.799,-505.534,110.000,9.011,-131.020,-0.064
5,BP_pipeline_C_UAID_18C04D8F75B69C7302_2034457391_SM_Bedroom_Couch_002V,StaticMesh_SM_Bedroom_Couch_002V,0,516,693,719,693,203,-699.287,-530.501,47.477,80.798,158.131,94.953,-580.799,-505.534,110.000,9.011,-131.020,-0.064
6,BP_pipeline_C_UAID_18C04D8F75B69C7302_2034457391_SM_TargetActor_Heater_002V,StaticMesh_SM_TargetActor_Heater_002V,1206,487,1279,719,73,232,-553.371,-792.199,51.679,53.733,42.717,103.357,-580.267,-506.005,110.000,9.564,-130.980,-0.065
