ActorName,ActorClass,MinX,MinY,MaxX,MaxY,Width,Height,WorldX,WorldY,WorldZ,WorldSizeX,WorldSizeY,WorldSizeZ,CameX,CamY,CamZ,CamPitch,CamYaw,CamRoll
BP_pipeline_C_UAID_18C04D8F75B69C7302_2034457391_SM_TargetActor_Heater_002V,StaticMesh_SM_TargetActor_Heater_002V,984,384,1219,719,235,335,-452.135,-205.533,51.679,53.733,42.717,103.357,-504.688,-455.902,110.000,0.612,42.600,-0.022
BP_pipeline_C_UAID_18C04D8F75B69C7302_2034457391_SM_Bedroom_Backpack_001V,StaticMesh_SM_Bedroom_Backpack_001V,1209,617,1279,719,70,102,-502.841,-267.855,25.441,31.469,34.459,50.900,-504.688,-455.902,110.000,0.612,42.600,-0.022
BP_pipeline_C_UAID_18C04D8F75B69C7302_2034457391_SM_TargetActor_NightStand_002V,StaticMesh_SM_TargetActor_NightStand_002V,920,616,1154,719,234,103,-451.286,-266.381,16.701,41.178,44.003,33.401,-504.688,-455.902,110.000,0.612,42.600,-0.022
BP_pipeline_C_UAID_18C04D8F75B69C7302_2034457391_SM_TargetActor_Plant_002V,StaticMesh_SM_TargetActor_Plant_002V,647,4,1193,719,546,715,-453.044,-339.943,74.248,67.017,71.473,148.496,-504.688,-455.902,110.000,0.612,42.600,-0.022
BP_pipeline_C_UAID_18C04D8F75B69C7302_2034457391_SM_TargetActor_Shoesrack_001V,StaticMesh_SM_TargetActor_Shoesrack_001V,512,296,739,719,227,423,-333.315,-301.967,65.431,35.569,77.215,130.901,-504.688,-455.902,110.000,0.612,42.600,-0.022
BP_pipeline_C_UAID_18C04D8F75B69C7302_2034457391_SM_Bedroom_Suitcase_001V,StaticMesh_SM_Bedroom_Suitcase_001V,1008,375,1120,555,112,180,-387.470,15.503,52.212,52.235,31.628,104.424,-504.688,-455.902,110.000,0.612,42.600,-0.022
BP_pipeline_C_UAID_18C04D8F75B69C7302_2034457391_SM_General_Painting_011V,StaticMesh_SM_General_Painting_011V,973,241,1021,295,48,54,-347.559,21.355,177.198,29.327,2.099,34.114,-504.688,-455.902,110.000,0.612,42.600,-0.022
BP_pipeline_C_UAID_18C04D8F75B69C7302_2034457391_SM_Bedroom_Couch_001V,StaticMesh_SM_Bedroom_Couch_001V,1108,391,1279,631,171,240,-469.525,-9.054,47.477,90.994,80.798,94.953,-504.688,-455.902,110.000,0.612,42.600,-0.022
BP_pipeline_C_UAID_18C04D8F75B69C7302_2034457391_SM_TargetActor_Bowl_001V,StaticMesh_SM_TargetActor_Bowl_001V,0,702,201,719,201,17,-380.971,-450.241,50.116,21.813,21.813,4.653,-504.688,-455.902,110.000,0.612,42.600,-0.022
BP_pipeline_C_UAID_18C04D8F75B69C7302_2034457391_SM_TargetActor_NightStand_002V,StaticMesh_SM_TargetActor_NightStand_002V,268,675,568,719,300,44,-379.268,-400.905,16.701,41.178,44.003,33.401,-504.688,-455.902,110.000,0.612,42.600,-0.022
BP_pipeline_C_UAID_18C04D8F75B69C7302_2034457391_SM_Bedroom_Sidetable_006V,StaticMesh_SM_Bedroom_Sidetable_006V,0,677,359,719,359,42,-386.131,-451.758,23.894,54.913,54.894,47.789,-504.688,-455.902,110.000,0.612,42.600,-0.022
BP_pipeline_C_UAID_18C04D8F75B69C7302_2034457391_SM_Bedroom_Coatrack_001V,StaticMesh_SM_Bedroom_Coatrack_001V,397,252,577,719,180,467,-332.729,-359.734,69.863,38.182,38.261,139.088,-504.688,-455.902,110.000,0.612,42.600,-0.022
BP_pipeline_C_UAID_18C04D8F75B69C7302_2034457391_SM_TargetActor_Heater_001V,StaticMesh_SM_TargetActor_Heater_001V,0,487,423,719,423,232,-322.637,-429.052,36.951,18.070,100.152,73.777,-504.688,-455.902,110.000,0.612,42.600,-0.022
BP_pipeline_C_UAID_18C04D8F75B69C7302_2034457391_SM_General_Window_003V,StaticMesh_SM_General_Window_003V,156,0,920,719,764,719,-303.592,-234.164,150.000,29.858,400.000,300.000,-504.688,-455.902,110.000,0.612,42.600,-0.022
