Possibility,Actor1,Actor2,Actor3,Actor4,Actor1_FirstFrame,Actor2_FirstFrame,Actor3_FirstFrame,Actor4_FirstFrame,Question,Answer,Options
1,BP_pipeline_C_UAID_18C04D8F75B69C7302_2034457391_SM_TargetActor_StandingLamp_001V,BP_pipeline_C_UAID_18C04D8F75B69C7302_2034457391_SM_TargetActor_Heater_001V,BP_pipeline_C_UAID_18C04D8F75B69C7302_2034457391_SM_TargetActor_Basket_002V,BP_pipeline_C_UAID_18C04D8F75B69C7302_2034457391_SM_Bedroom_Sidetable_006V,0,47,58,68,"What will be the first-time appearance order of the following categories in the video: heater, basket, sidetable, standing lamp?",D,"['A. heater, standing lamp, basket, sidetable', 'B. heater, basket, sidetable, standing lamp', 'C. basket, heater, sidetable, standing lamp', 'D. standing lamp, heater, basket, sidetable']"
2,BP_pipeline_C_UAID_18C04D8F75B69C7302_2034457391_SM_TargetActor_StandingLamp_001V,BP_pipeline_C_UAID_18C04D8F75B69C7302_2034457391_SM_TargetActor_Heater_001V,BP_pipeline_C_UAID_18C04D8F75B69C7302_2034457391_SM_TargetActor_Basket_002V,BP_pipeline_C_UAID_18C04D8F75B69C7302_2034457391_SM_Bedroom_Couch_001V,0,47,58,152,"What will be the first-time appearance order of the following categories in the video: standing lamp, basket, heater, couch?",A,"['A. standing lamp, heater, basket, couch', 'B. standing lamp, heater, couch, basket', 'C. heater, couch, standing lamp, basket', 'D. standing lamp, basket, couch, heater']"
3,BP_pipeline_C_UAID_18C04D8F75B69C7302_2034457391_SM_TargetActor_StandingLamp_001V,BP_pipeline_C_UAID_18C04D8F75B69C7302_2034457391_SM_TargetActor_Heater_001V,BP_pipeline_C_UAID_18C04D8F75B69C7302_2034457391_SM_TargetActor_Basket_002V,BP_pipeline_C_UAID_18C04D8F75B69C7302_2034457391_SM_Bedroom_Coatrack_001V,0,47,58,208,"What will be the first-time appearance order of the following categories in the video: heater, basket, coatrack, standing lamp?",A,"['A. standing lamp, heater, basket, coatrack', 'B. heater, basket, standing lamp, coatrack', 'C. heater, standing lamp, coatrack, basket', 'D. coatrack, standing lamp, heater, basket']"
4,BP_pipeline_C_UAID_18C04D8F75B69C7302_2034457391_SM_TargetActor_StandingLamp_001V,BP_pipeline_C_UAID_18C04D8F75B69C7302_2034457391_SM_TargetActor_Heater_001V,BP_pipeline_C_UAID_18C04D8F75B69C7302_2034457391_SM_TargetActor_Basket_002V,BP_pipeline_C_UAID_18C04D8F75B69C7302_2034457391_SM_General_Window_003V,0,47,58,210,"What will be the first-time appearance order of the following categories in the video: basket, standing lamp, window, heater?",C,"['A. standing lamp, basket, heater, window', 'B. heater, standing lamp, basket, window', 'C. standing lamp, heater, basket, window', 'D. heater, standing lamp, window, basket']"
5,BP_pipeline_C_UAID_18C04D8F75B69C7302_2034457391_SM_TargetActor_StandingLamp_001V,BP_pipeline_C_UAID_18C04D8F75B69C7302_2034457391_SM_TargetActor_Heater_001V,BP_pipeline_C_UAID_18C04D8F75B69C7302_2034457391_SM_TargetActor_Basket_002V,BP_pipeline_C_UAID_18C04D8F75B69C7302_2034457391_SM_TargetActor_Shoesrack_001V,0,47,58,211,"What will be the first-time appearance order of the following categories in the video: basket, shoesrack, heater, standing lamp?",A,"['A. standing lamp, heater, basket, shoesrack', 'B. shoesrack, basket, standing lamp, heater', 'C. basket, shoesrack, heater, standing lamp', 'D. standing lamp, heater, shoesrack, basket']"
6,BP_pipeline_C_UAID_18C04D8F75B69C7302_2034457391_SM_TargetActor_StandingLamp_001V,BP_pipeline_C_UAID_18C04D8F75B69C7302_2034457391_SM_TargetActor_Heater_001V,BP_pipeline_C_UAID_18C04D8F75B69C7302_2034457391_SM_TargetActor_Basket_002V,BP_pipeline_C_UAID_18C04D8F75B69C7302_2034457391_SM_TargetActor_Plant_002V,0,47,58,223,"What will be the first-time appearance order of the following categories in the video: heater, basket, plant, standing lamp?",C,"['A. heater, plant, standing lamp, basket', 'B. heater, plant, basket, standing lamp', 'C. standing lamp, heater, basket, plant', 'D. plant, heater, standing lamp, basket']"
7,BP_pipeline_C_UAID_18C04D8F75B69C7302_2034457391_SM_TargetActor_StandingLamp_001V,BP_pipeline_C_UAID_18C04D8F75B69C7302_2034457391_SM_TargetActor_Heater_001V,BP_pipeline_C_UAID_18C04D8F75B69C7302_2034457391_SM_TargetActor_Basket_002V,BP_pipeline_C_UAID_18C04D8F75B69C7302_2034457391_SM_Bedroom_Bedstool_001V,0,47,58,225,"What will be the first-time appearance order of the following categories in the video: bedstool, basket, heater, standing lamp?",C,"['A. heater, basket, standing lamp, bedstool', 'B. basket, heater, standing lamp, bedstool', 'C. standing lamp, heater, basket, bedstool', 'D. standing lamp, basket, bedstool, heater']"
8,BP_pipeline_C_UAID_18C04D8F75B69C7302_2034457391_SM_TargetActor_StandingLamp_001V,BP_pipeline_C_UAID_18C04D8F75B69C7302_2034457391_SM_TargetActor_Heater_001V,BP_pipeline_C_UAID_18C04D8F75B69C7302_2034457391_SM_TargetActor_Basket_002V,BP_pipeline_C_UAID_18C04D8F75B69C7302_2034457391_SM_Bedroom_Suitcase_001V,0,47,58,234,"What will be the first-time appearance order of the following categories in the video: basket, heater, suitcase, standing lamp?",A,"['A. standing lamp, heater, basket, suitcase', 'B. suitcase, standing lamp, heater, basket', 'C. suitcase, heater, basket, standing lamp', 'D. basket, heater, standing lamp, suitcase']"
9,BP_pipeline_C_UAID_18C04D8F75B69C7302_2034457391_SM_TargetActor_StandingLamp_001V,BP_pipeline_C_UAID_18C04D8F75B69C7302_2034457391_SM_TargetActor_Heater_001V,BP_pipeline_C_UAID_18C04D8F75B69C7302_2034457391_SM_TargetActor_Basket_002V,BP_pipeline_C_UAID_18C04D8F75B69C7302_2034457391_SM_TargetActor_NightStand_002V,0,47,58,245,"What will be the first-time appearance order of the following categories in the video: night stand, standing lamp, basket, heater?",B,"['A. basket, heater, night stand, standing lamp', 'B. standing lamp, heater, basket, night stand', 'C. basket, standing lamp, heater, night stand', 'D. basket, heater, standing lamp, night stand']"
10,BP_pipeline_C_UAID_18C04D8F75B69C7302_2034457391_SM_TargetActor_StandingLamp_001V,BP_pipeline_C_UAID_18C04D8F75B69C7302_2034457391_SM_TargetActor_Heater_001V,BP_pipeline_C_UAID_18C04D8F75B69C7302_2034457391_SM_TargetActor_Basket_002V,BP_pipeline_C_UAID_18C04D8F75B69C7302_2034457391_SM_Bedroom_Bed_001V,0,47,58,273,"What will be the first-time appearance order of the following categories in the video: basket, bed, heater, standing lamp?",B,"['A. heater, standing lamp, bed, basket', 'B. standing lamp, heater, basket, bed', 'C. basket, bed, heater, standing lamp', 'D. bed, standing lamp, basket, heater']"
11,BP_pipeline_C_UAID_18C04D8F75B69C7302_2034457391_SM_TargetActor_StandingLamp_001V,BP_pipeline_C_UAID_18C04D8F75B69C7302_2034457391_SM_TargetActor_Heater_001V,BP_pipeline_C_UAID_18C04D8F75B69C7302_2034457391_SM_TargetActor_Fan_001V,BP_pipeline_C_UAID_18C04D8F75B69C7302_2034457391_SM_Bedroom_Couch_001V,0,47,62,152,"What will be the first-time appearance order of the following categories in the video: fan, heater, couch, standing lamp?",D,"['A. heater, couch, standing lamp, fan', 'B. couch, fan, heater, standing lamp', 'C. heater, couch, fan, standing lamp', 'D. standing lamp, heater, fan, couch']"
